id,title,content,publication_date,source_url,category
1,"Some on-air claims about Dominion Voting Systems were false, Fox News acknowledges in statement after deal is announced","

","Wed, 19 Apr 2023 12:44:51 GMT",https://www.cnn.com/business/live-news/fox-news-dominion-trial-04-18-23/index.html,Protest
2,Dominion still has pending lawsuits against election deniers such as Rudy Giuliani and Sidney Powell,"

",,https://www.cnn.com/business/live-news/fox-news-dominion-trial-04-18-23/h_8d51e3ae2714edaa0dace837305d03b8,"Text:  


Assistant: Riot."
3,Here are the 20 specific Fox broadcasts and tweets Dominion says were defamatory,"• Fox-Dominion trial delay 'is not unusual,' judge says • Fox News' defamation
battle isn't stopping Trump's election lies

","Mon, 17 Apr 2023 16:01:11 GMT",https://www.cnn.com/2023/04/17/media/dominion-fox-news-allegations/index.html,Others.
4,Judge in Fox News-Dominion defamation trial: 'The parties have resolved their case',"The judge just announced in court that a settlement has been reached in the
historic defamation case between Fox News and Dominion Voting Systems.

","Wed, 19 Apr 2023 08:28:17 GMT",https://www.cnn.com/2023/04/18/media/fox-dominion-settlement/index.html,Others.
5,'Difficult to say with a straight face': Tapper reacts to Fox News' statement on settlement,"A settlement has been reached in Dominion Voting Systems' defamation case
against Fox News, the judge for the case announced. The network will pay more
than $787 million to Dominion, a lawyer for the company said.

","Tue, 18 Apr 2023 21:17:44 GMT",https://www.cnn.com/videos/politics/2023/04/18/jake-tapper-dominion-lawsuit-settlement-fox-news-statement-lead-vpx.cnn,Others 👍
6,Millions in the US could face massive consequences unless McCarthy can navigate out of a debt trap he set for Biden,"• DeSantis goes to Washington, a place he once despised, looking for support
to take on Trump • Opinion: For the GOP to win, it must ditch Trump • Chris
Christie mulling 2024 White House bid • Analysis: The fire next time has begun
burning in Tennessee

","Tue, 18 Apr 2023 20:34:45 GMT",https://www.cnn.com/2023/04/18/politics/mccarthy-biden-debt-ceiling/index.html,Political
7,White homeowner accused of shooting a Black teen who rang his doorbell turns himself in to face criminal charges,"• 'A major part of Ralph died': Aunt of teen shot after ringing wrong doorbell
speaks • 20-year-old woman shot after friend turned into the wrong driveway in
upstate New York, officials say

","Wed, 19 Apr 2023 04:29:05 GMT",https://www.cnn.com/2023/04/18/us/kansas-city-ralph-yarl-shooting-tuesday/index.html,• Terrorism/protest/political/riot
8,Newly released video shows scene of Jeremy Renner's snowplow accident,"Newly released body camera footage shows firefighters and sheriff's deputies
rushing to help actor Jeremy Renner after a near-fatal snowplow accident in
January. The ""Avengers"" actor broke more than 30 bones and suffered other
severe injuries. CNN's Chloe Melas has more.

","Tue, 18 Apr 2023 14:09:43 GMT",https://www.cnn.com/videos/us/2023/04/18/jeremy-renner-snowplow-accident-bodycam-nc-melas-contd-vpx.cnn,Others.
9,Jake Gyllenhaal and Jamie Lee Curtis spent the Covid-19 lockdown together,"It's sourdough bread and handstands for Jake Gyllenhaal and Jamie Lee Curtis.

","Tue, 18 Apr 2023 14:40:32 GMT",https://www.cnn.com/2023/04/18/entertainment/jake-gyllenhaal-jamie-lee-curtis-pandemic-living/index.html,Others: Humorous.
10,"Toddler crawls through White House fence, prompts Secret Service response","A tiny intruder infiltrated White House grounds Tuesday, prompting a swift
response from the US Secret Service.

","Tue, 18 Apr 2023 17:38:16 GMT",https://www.cnn.com/2023/04/18/politics/white-house-toddler/index.html,Riot.
11,Jamie Foxx remains hospitalized nearly a week after 'medical complication',"Jamie Foxx remains hospitalized in Georgia nearly a week after his daughter
revealed the actor experienced a ""medical complication,"" a source with
knowledge of the matter told CNN on Monday.

","Tue, 18 Apr 2023 00:27:07 GMT",https://www.cnn.com/2023/04/17/entertainment/jamie-foxx-remains-hospitalized/index.html,Positive.
12,A 13-year-old dies after participating in a Benadryl TikTok 'challenge',"A 13-year-old in Ohio has died after ""he took a bunch of Benadryl,"" trying a
dangerous TikTok challenge that's circulating online, according to a CNN
affiliate and a GoFundMe account from his family.

","Wed, 19 Apr 2023 15:01:06 GMT",https://www.cnn.com/2023/04/18/us/benadryl-tiktok-challenge-teen-death-wellness/index.html,Others.
13,See pizza delivery guy take out suspect fleeing police,"Pizza guy delivers more than a pie, taking out a fleeing suspect. CNN's Jeanne
Moos shows him putting his best foot forward.

","Tue, 18 Apr 2023 16:40:22 GMT",https://www.cnn.com/videos/us/2023/04/18/pizza-guy-trips-perp-moos-cprog-orig-bdk.cnn,Positive.
14,Netflix is winding down its DVD business after 25 years,"Netflix is officially winding down the business that helped make it a
household name.

","Tue, 18 Apr 2023 20:10:51 GMT",https://www.cnn.com/2023/04/18/media/netflix-dvd-red-envelopes/index.html,Others.
15,FTC chair Lina Khan warns AI could 'turbocharge' fraud and scams,"Artificial intelligence tools such as ChatGPT could lead to a ""turbocharging""
of consumer harms including fraud and scams, and the US government has
substantial authority to crack down on AI-driven consumer harms under existing
law, members of the Federal Trade Commission said Tuesday.

","Tue, 18 Apr 2023 17:59:38 GMT",https://www.cnn.com/2023/04/18/tech/lina-khan-ai-warning/index.html,Others
